,cluster,lat,lon,num_points,adjustment_status
0,0.0,41.8791997,12.4767644,331.0,Moved out of Zone
1,1.0,41.9075859,12.5104086,173.0,Moved out of Zone
2,2.0,41.9174255,12.4624862,368.0,Moved out of Zone
3,3.0,41.8815203,12.5148513,558.0,Moved out of Zone
4,4.0,41.8426885,12.4832169,251.0,Moved out of Zone
5,5.0,41.8945513,12.4763873,563.0,Moved out of Zone
6,6.0,41.8880045,12.468266,413.0,Moved out of Zone
7,7.0,41.8954065,12.4930515,422.0,Moved out of Zone
8,8.0,41.878699,12.4485934,151.0,Moved out of Zone
9,9.0,41.937847,12.4712587,82.0,Moved out of Zone
10,10.0,41.9325958,12.5122103,92.0,Moved out of Zone
11,11.0,41.9119802,12.4755149,557.0,Moved out of Zone
12,12.0,41.9043256,12.4449055,284.0,Moved out of Zone
13,13.0,41.8288572,12.4712966,165.0,Moved out of Zone
14,14.0,41.8733279,12.5194807,241.0,Moved out of Zone
15,15.0,41.856387,12.4853238,226.0,Moved out of Zone
16,16.0,41.9233368,12.4900138,190.0,Moved out of Zone
17,17.0,41.8711187,12.4682909,174.0,Moved out of Zone
18,18.0,41.882715,12.460335,499.0,Moved out of Zone
19,19.0,41.9200498,12.5224697,246.0,Moved out of Zone
20,20.0,41.8885072,12.4963953,325.0,Moved out of Zone
21,21.0,41.9065125,12.4812423,282.0,Moved out of Zone
22,22.0,41.9051604,12.4582948,242.0,Moved out of Zone
23,23.0,41.8915518,12.508346,398.0,Moved out of Zone
24,24.0,41.8670237,12.4956244,81.0,Moved out of Zone
25,25.0,41.9181131,12.4998018,315.0,Moved out of Zone
26,26.0,41.8765252,12.482324,321.0,Moved out of Zone
27,27.0,41.901116,12.501082,812.0,Moved out of Zone
28,28.0,41.8720044,12.5266263,307.0,Moved out of Zone
29,29.0,41.8810836,12.5094511,547.0,Moved out of Zone
30,30.0,41.88499,12.5243814,316.0,Moved out of Zone
31,31.0,41.8962536,12.4725344,411.0,Moved out of Zone
32,32.0,41.8549391,12.4810871,281.0,Moved out of Zone
33,33.0,41.8526025,12.4909721,93.0,Moved out of Zone
34,34.0,41.8327317,12.4631588,207.0,Moved out of Zone
35,35.0,41.9129508,12.5266195,145.0,Moved out of Zone
36,36.0,41.9239308,12.5162521,352.0,Moved out of Zone
37,37.0,41.8700541,12.4533544,138.0,Moved out of Zone
38,38.0,41.8946953,12.4805614,328.0,Moved out of Zone
39,39.0,41.8662047,12.4852928,306.0,Moved out of Zone
40,40.0,41.9010498,12.4652242,294.0,Moved out of Zone
41,41.0,41.9099343,12.519234,252.0,Moved out of Zone
42,42.0,41.9264538,12.461393,289.0,Moved out of Zone
43,43.0,41.9462427,12.4663267,117.0,Moved out of Zone
44,44.0,41.9158624,12.5112498,199.0,Moved out of Zone
45,45.0,41.9059189,12.4935126,169.0,Moved out of Zone
46,46.0,41.9137794,12.4510955,61.0,Moved out of Zone
47,47.0,41.8644032,12.4696512,242.0,Moved out of Zone
48,48.0,41.8774567,12.5248679,494.0,Moved out of Zone
49,49.0,41.891523,12.4918891,412.0,Moved out of Zone
50,50.0,41.8175033,12.4656628,58.0,Moved out of Zone
51,51.0,41.9270526,12.4805424,158.0,Moved out of Zone
52,52.0,41.8194577,12.4812661,91.0,Moved out of Zone
53,53.0,41.9088522,12.4679118,177.0,Moved out of Zone
54,54.0,41.8840335,12.4880529,266.0,Moved out of Zone
55,55.0,41.885695,12.5099358,740.0,Moved out of Zone
56,56.0,41.8710336,12.4791486,157.0,Moved out of Zone
57,57.0,41.895913,12.4421988,131.0,Moved out of Zone
58,58.0,41.9039741,12.4887219,230.0,Moved out of Zone
59,59.0,41.9304125,12.4648189,166.0,Moved out of Zone
60,60.0,41.9318426,12.5209017,171.0,Moved out of Zone
61,61.0,41.9091837,12.4578247,293.0,Moved out of Zone
62,62.0,41.9212877,12.5060472,216.0,Moved out of Zone
63,63.0,41.8766952,12.4656529,171.0,Moved out of Zone
64,64.0,41.8764601,12.5165399,347.0,Moved out of Zone
65,65.0,41.9044669,12.4754742,208.0,Moved out of Zone
66,66.0,41.8914123,12.5130227,290.0,Moved out of Zone
67,67.0,41.8775435,12.5316842,366.0,Moved out of Zone
68,68.0,41.894722,12.5046477,269.0,Moved out of Zone
69,69.0,41.8536643,12.4978694,139.0,Moved out of Zone
70,70.0,41.8803299,12.4588349,244.0,Moved out of Zone
71,71.0,41.9132127,12.4941646,170.0,Moved out of Zone
72,72.0,41.8673482,12.4914508,334.0,Moved out of Zone
73,73.0,41.8857944,12.4715371,501.0,Moved out of Zone
74,74.0,41.898571,12.4508528,103.0,Moved out of Zone
75,75.0,41.8451047,12.4864419,319.0,Moved out of Zone
76,76.0,41.8974326,12.4880474,258.0,Moved out of Zone
