,cluster,lat,lon,num_points,adjustment_status
0,0.0,41.881373,12.5103677,481.0,Moved out of Zone
1,1.0,41.9010498,12.4652242,351.0,Moved out of Zone
2,2.0,41.8566758,12.4778092,287.0,Moved out of Zone
3,3.0,41.9135628,12.5208295,242.0,Moved out of Zone
4,4.0,41.8769013,12.4658987,235.0,Moved out of Zone
5,5.0,41.9036085,12.4951873,244.0,Moved out of Zone
6,6.0,41.8441926,12.4851829,306.0,Moved out of Zone
7,7.0,41.9320408,12.4633401,82.0,Moved out of Zone
8,8.0,41.8314826,12.4626019,139.0,Moved out of Zone
9,9.0,41.8827447,12.5202617,240.0,Moved out of Zone
10,10.0,41.8894649,12.4742106,480.0,Moved out of Zone
11,11.0,41.8689815,12.4893256,178.0,Moved out of Zone
12,12.0,41.9111631,12.4537422,342.0,Moved out of Zone
13,13.0,41.9248785,12.5071484,194.0,Moved out of Zone
14,14.0,41.9066494,12.481148,350.0,Moved out of Zone
15,15.0,41.8748466,12.4541077,355.0,Moved out of Zone
16,16.0,41.8885072,12.4963953,331.0,Moved out of Zone
17,17.0,41.872491,12.4797492,375.0,Moved out of Zone
18,18.0,41.8709579,12.5167969,196.0,Moved out of Zone
19,19.0,41.9240552,12.4869954,107.0,Moved out of Zone
20,20.0,41.8748955,12.5232326,521.0,Moved out of Zone
21,21.0,41.9173941,12.4623888,369.0,Moved out of Zone
22,22.0,41.9139001,12.5054619,398.0,Moved out of Zone
23,23.0,41.8858096,12.4596372,243.0,Moved out of Zone
24,24.0,41.8171933,12.4689299,87.0,Moved out of Zone
25,25.0,41.8917718,12.5138696,321.0,Moved out of Zone
26,26.0,41.8958714,12.4451258,81.0,Moved out of Zone
27,27.0,41.9287549,12.5152435,169.0,Moved out of Zone
28,28.0,41.8958301,12.4766381,408.0,Moved out of Zone
29,29.0,41.8948488,12.5014145,245.0,Moved out of Zone
30,30.0,41.8828274,12.4799641,108.0,Moved out of Zone
31,31.0,41.9183991,12.5002419,367.0,Moved out of Zone
