index,idS,excepcion
82,A0O4,No hay ruta entre origen (ID 3623024131) y destino (ID 1198115095)
133,A1E3,No hay ruta entre origen (ID 4585419636) y destino (ID 247334548)
250,A2M3,No hay ruta entre origen (ID 2152321059) y destino (ID 294042828)
747,A7N6,No hay ruta entre origen (ID 462618016) y destino (ID 566522778)
1145,B2S3,No hay ruta entre origen (ID 2152321059) y destino (ID 583789983)
1157,B2S3,No hay ruta entre origen (ID 12881327218) y destino (ID 10119600362)
2313,C8A2,No hay ruta entre origen (ID 647931730) y destino (ID 153303024)
2315,C8A2,No hay ruta entre origen (ID 195340551) y destino (ID 470731928)
2338,C8H5,No hay ruta entre origen (ID 257737379) y destino (ID 4589451955)
2511,C9W2,No hay ruta entre origen (ID 3772113194) y destino (ID 259065764)
2853,D3F1,No hay ruta entre origen (ID 1987029780) y destino (ID 261764693)
3010,D5M2,No hay ruta entre origen (ID 422186433) y destino (ID 4589451955)
3111,D6I9,No hay ruta entre origen (ID 4585419636) y destino (ID 1539350657)
78,A0O4,No path between 3623024131 and 1198115095.
127,A1E3,No path between 4585419636 and 247334548.
234,A2M3,No path between 2152321059 and 294042828.
702,A7N6,No path between 462618016 and 566522778.
1065,B2S3,No path between 2152321059 and 583789983.
1077,B2S3,No path between 12881327218 and 10119600362.
2173,C8A2,No path between 647931730 and 153303024.
2175,C8A2,No path between 195340551 and 470731928.
2197,C8H5,No path between 257737379 and 4589451955.
2355,C9W2,No path between 3772113194 and 259065764.
2677,D3F1,No path between 1987029780 and 261764693.
2825,D5M2,No path between 422186433 and 4589451955.
2921,D6I9,No path between 4585419636 and 1539350657.
2967,D6P3,No path between 259199183 and 3772113269.
3256,D9B5,No path between 566512976 and 1368573432.
3259,D9B5,No path between 566512976 and 8102704911.
3341,E0B5,No path between 2152321059 and 254094151.
3381,E0G4,No path between 2069702613 and 9916806845.
3454,E0U9,No path between 4585419636 and 252714285.
3884,E4U3,No path between 266776928 and 122569750.
4482,F2B6,No path between 1245378579 and 317344943.
4508,F2R1,No path between 259661604 and 4589451955.
4728,F4Z8,No path between 1272593139 and 1909364760.
5668,G7A3,No path between 4585419636 and 5144905437.
5670,G7A3,No path between 1245378579 and 246073526.
5716,G7S1,No path between 9912775371 and 25418882.
5782,G8U0,No path between 2408831407 and 257904937.
5961,H0E8,No path between 566512976 and 254525437.
6037,H1E8,No path between 383407972 and 1351150952.
6052,H1I2,No path between 9009728675 and 301592765.
6540,H7D2,No path between 1987029780 and 746725053.
6715,H8W8,No path between 1987029780 and 560450914.
6919,I0U4,No path between 264251856 and 4589451955.
7145,I2V8,No path between 13013260896 and 257492847.
7147,I2V8,No path between 13013260896 and 252714293.
7184,I3C8,No path between 12908579829 and 291632726.
7193,I3C8,No path between 2408831407 and 1642405188.
7307,I5A7,No path between 4585419636 and 252714289.
7309,I5A7,No path between 4585419636 and 257485308.
7388,I6G4,No path between 4585419636 and 246073107.
7649,I8Z3,No path between 1987029780 and 246113004.
7815,J0K1,No path between 4585419636 and 12836576769.
8060,J3C7,No path between 566512976 and 908361074.
8178,J3Q0,No path between 2152321059 and 13258103620.
8462,J6P2,No path between 2152321059 and 25418895.
8665,J9P5,No path between 266776928 and 246641942.
8708,K0F0,No path between 2152321059 and 384975542.
9150,K4N0,No path between 246118760 and 566522778.
9582,K9T4,No path between 251784707 and 4921025835.
10088,L4R9,No path between 1245378579 and 256819774.
10097,L4R9,No path between 2152321059 and 12200780515.
10274,L6E8,No path between 13013260896 and 262459178.
10406,L7O0,No path between 11392457335 and 1172899329.
10465,L7V5,No path between 566512976 and 4826145079.
10549,L9C9,No path between 2152321059 and 2042215781.
11173,M5W0,No path between 4668883157 and 3772113269.
11286,M7A0,No path between 1987029780 and 261764693.
11293,M7A8,No path between 302961868 and 566522778.
