Patin,Minuto
R1H3,2021-02-01 07:49:00
W2T5,2021-02-01 07:52:00
E8F9,2021-02-01 08:10:00
T7J4,2021-02-01 08:31:00
R0J4,2021-02-01 08:33:00
I6G4,2021-02-01 08:46:00
T2C5,2021-02-01 09:03:00
O7N3,2021-02-01 09:29:00
D3E7,2021-02-01 09:54:00
S8I0,2021-02-01 12:45:00
Z5F7,2021-02-01 15:31:00
K8B4,2021-02-01 16:15:00
D8O5,2021-02-01 18:45:00
Y2W7,2021-02-01 21:17:00
K8O2,2021-02-02 07:22:00
G2D7,2021-02-02 09:08:00
S9W3,2021-02-02 09:35:00
F2R1,2021-02-03 19:00:00
A1E3,2021-02-04 11:50:00
R8T3,2021-02-04 19:42:00
P4H2,2021-02-04 20:00:00
D0E3,2021-02-04 20:01:00
Y5M9,2021-02-04 20:07:00
Y3T3,2021-02-04 20:32:00
G0J3,2021-02-04 20:38:00
H5A5,2021-02-04 20:43:00
O6S7,2021-02-04 22:18:00
V6L0,2021-02-05 05:19:00
O1W2,2021-02-05 08:22:00
V9Q7,2021-02-05 08:26:00
A4C8,2021-02-05 08:33:00
Y3T3,2021-02-05 08:39:00
E1Q5,2021-02-05 09:05:00
I6X2,2021-02-05 09:16:00
J3N9,2021-02-05 09:41:00
N4U7,2021-02-05 09:55:00
R2N8,2021-02-05 11:49:00
T1F1,2021-02-05 13:16:00
P5J1,2021-02-05 13:42:00
Z0C1,2021-02-05 13:47:00
O6S7,2021-02-05 14:37:00
O2A3,2021-02-05 14:54:00
E5V8,2021-02-05 15:00:00
C9W2,2021-02-05 15:06:00
O8G7,2021-02-05 15:50:00
N9G8,2021-02-05 16:19:00
G0L3,2021-02-05 16:21:00
L6D1,2021-02-05 16:41:00
B9S6,2021-02-05 16:42:00
J1T2,2021-02-05 16:59:00
S1Q8,2021-02-05 17:05:00
X9B7,2021-02-05 17:28:00
W6K1,2021-02-05 18:05:00
R0F3,2021-02-05 18:14:00
E5V8,2021-02-05 19:28:00
H2M1,2021-02-05 20:55:00
Z8Y2,2021-02-05 20:55:00
P7B3,2021-02-05 22:04:00
W8K6,2021-02-05 23:10:00
U1P5,2021-02-06 08:43:00
O5L5,2021-02-06 12:28:00
A2D3,2021-02-06 12:48:00
E4U8,2021-02-06 12:48:00
G6J1,2021-02-06 12:49:00
U2T5,2021-02-06 14:54:00
M6L2,2021-02-06 14:55:00
I6X9,2021-02-06 15:21:00
O6S7,2021-02-06 15:26:00
K2S1,2021-02-06 15:34:00
G3K1,2021-02-06 15:46:00
G7I0,2021-02-06 16:01:00
D1F2,2021-02-06 16:26:00
O0F0,2021-02-06 16:33:00
O0U8,2021-02-06 16:43:00
P6T7,2021-02-06 16:54:00
P3N9,2021-02-06 16:57:00
R4E3,2021-02-06 17:07:00
I0K1,2021-02-06 17:09:00
E9S0,2021-02-06 18:00:00
M1Q4,2021-02-06 18:44:00
I4S3,2021-02-06 18:56:00
J5L0,2021-02-06 18:59:00
Q4L7,2021-02-06 19:02:00
I6H5,2021-02-06 19:22:00
K9Y0,2021-02-06 19:44:00
T9R3,2021-02-06 20:32:00
V9O6,2021-02-06 20:39:00
J5X2,2021-02-06 21:13:00
J9W3,2021-02-06 21:15:00
J9W3,2021-02-06 21:16:00
A6P3,2021-02-06 21:24:00
K5H3,2021-02-06 21:35:00
S1I7,2021-02-06 21:46:00
F7P5,2021-02-06 21:49:00
V3S9,2021-02-07 11:24:00
Q4X9,2021-02-07 11:25:00
Z8A4,2021-02-07 12:04:00
Y3M8,2021-02-07 16:26:00
I1Z2,2021-02-07 17:01:00
N0T9,2021-02-07 18:28:00
K3R5,2021-02-07 18:43:00
T1S9,2021-02-07 18:47:00
Z0I4,2021-02-07 19:11:00
W4M4,2021-02-07 19:18:00
Z7D2,2021-02-07 19:18:00
Q4I4,2021-02-07 19:58:00
J5I4,2021-02-07 19:59:00
B0X4,2021-02-07 20:29:00
F6I6,2021-02-07 20:40:00
S9B9,2021-02-07 22:39:00
L7I2,2021-02-08 07:42:00
A3U5,2021-02-08 07:46:00
A2M3,2021-02-08 07:47:00
L9M5,2021-02-08 07:54:00
W2O2,2021-02-08 08:46:00
Z9D4,2021-02-08 09:16:00
H5F8,2021-02-08 09:42:00
U9B3,2021-02-08 09:48:00
K4L8,2021-02-08 09:52:00
S3D1,2021-02-08 12:43:00
E0G4,2021-02-08 19:23:00
R8D8,2021-02-08 20:58:00
M1Z0,2021-02-09 16:35:00
K8L4,2021-02-09 21:24:00
E2X6,2021-02-11 08:13:00
D9K6,2021-02-11 13:18:00
E2W7,2021-02-11 17:38:00
E1A1,2021-02-11 17:47:00
W2N7,2021-02-11 20:05:00
U0Z4,2021-02-11 20:15:00
A5S0,2021-02-11 21:59:00
L4T7,2021-02-12 08:05:00
S6Y2,2021-02-12 09:52:00
Z6E7,2021-02-12 11:09:00
V9Y4,2021-02-12 14:16:00
I8C8,2021-02-12 16:13:00
X1I3,2021-02-12 16:14:00
D7P6,2021-02-12 17:34:00
Q1J7,2021-02-12 18:11:00
D5J7,2021-02-12 18:16:00
V2X1,2021-02-12 18:21:00
E0G4,2021-02-12 20:09:00
N4L6,2021-02-12 20:15:00
G6J1,2021-02-12 20:33:00
H2G6,2021-02-12 21:27:00
P0K3,2021-02-12 21:30:00
L2D5,2021-02-12 22:02:00
T2X4,2021-02-13 11:08:00
G1L6,2021-02-13 12:09:00
O8N0,2021-02-13 13:17:00
K1J5,2021-02-13 13:58:00
U6V6,2021-02-13 14:03:00
U6W4,2021-02-13 15:48:00
W5A7,2021-02-13 17:33:00
F7J8,2021-02-13 17:34:00
Z6L8,2021-02-13 17:39:00
U3C7,2021-02-13 18:31:00
Z3K9,2021-02-13 18:57:00
Y2K4,2021-02-13 19:23:00
V8C6,2021-02-13 19:35:00
A8Y6,2021-02-13 19:39:00
W3C9,2021-02-13 20:10:00
O8S9,2021-02-13 20:26:00
R2M0,2021-02-13 21:34:00
P5X8,2021-02-14 00:10:00
R8Q1,2021-02-14 10:28:00
S9Q2,2021-02-14 11:30:00
E4U3,2021-02-14 11:31:00
L0Y8,2021-02-14 11:34:00
A6X5,2021-02-14 11:40:00
I0V4,2021-02-14 12:10:00
U3V7,2021-02-14 12:14:00
X6X9,2021-02-14 12:15:00
I0K1,2021-02-14 12:24:00
C1J0,2021-02-14 12:42:00
X8G3,2021-02-14 12:43:00
K6M9,2021-02-14 12:55:00
K1E1,2021-02-14 13:03:00
Y7E0,2021-02-14 13:03:00
A0N6,2021-02-14 13:04:00
R0Y8,2021-02-14 13:13:00
G7A3,2021-02-14 13:22:00
B1F0,2021-02-14 13:54:00
A0N6,2021-02-14 14:50:00
M6Q8,2021-02-14 15:01:00
H0A1,2021-02-14 15:29:00
P5R9,2021-02-14 15:32:00
U2N1,2021-02-14 16:39:00
D7G1,2021-02-14 16:53:00
L1A5,2021-02-14 17:24:00
P9A8,2021-02-14 18:10:00
U7F4,2021-02-14 18:29:00
P9J5,2021-02-14 18:31:00
M2M0,2021-02-14 19:12:00
H8L8,2021-02-14 19:16:00
R4E3,2021-02-14 20:04:00
Q5B1,2021-02-14 20:22:00
W6K1,2021-02-14 20:22:00
W6K1,2021-02-14 20:34:00
N0T9,2021-02-14 21:21:00
Y1C4,2021-02-15 05:30:00
V3F8,2021-02-15 07:44:00
D9B5,2021-02-15 08:12:00
Z8A4,2021-02-15 09:49:00
P4U7,2021-02-15 09:53:00
Z8E8,2021-02-15 16:50:00
B2S3,2021-02-15 18:44:00
