Station,Tamaño
0.0,10
1.0,11
2.0,8
3.0,8
4.0,9
5.0,8
6.0,9
7.0,4
8.0,6
9.0,6
10.0,12
11.0,8
12.0,13
13.0,4
14.0,8
15.0,9
16.0,7
17.0,9
18.0,7
19.0,5
20.0,11
21.0,12
22.0,8
23.0,11
24.0,4
25.0,9
26.0,4
27.0,6
28.0,11
29.0,8
30.0,6
31.0,9
32.0,7
33.0,4
34.0,15
35.0,10
36.0,8
37.0,5
38.0,6
39.0,6
40.0,4
41.0,11
42.0,10
43.0,8
44.0,11
45.0,8
46.0,8
47.0,8
48.0,10
49.0,11
50.0,9
51.0,8
52.0,12
53.0,7
54.0,13
55.0,5
56.0,8
57.0,10
58.0,7
59.0,5
60.0,8
61.0,16
62.0,4
63.0,5
64.0,16
65.0,6
66.0,8
67.0,9
68.0,8
69.0,8
70.0,7
71.0,5
72.0,4
73.0,9
74.0,11
75.0,7
76.0,8
77.0,8
78.0,5
79.0,4
80.0,7
81.0,6
82.0,10
83.0,7
84.0,12
85.0,9
86.0,4
87.0,9
88.0,16
89.0,6
90.0,12
91.0,7
92.0,5
93.0,6
94.0,4
95.0,4
96.0,6
97.0,7
98.0,12
99.0,11
100.0,4
101.0,10
102.0,6
103.0,8
104.0,6
105.0,7
106.0,6
107.0,12
108.0,4
109.0,10
110.0,4
111.0,8
112.0,7
113.0,9
114.0,6
115.0,5
116.0,11
117.0,4
118.0,9
119.0,4
120.0,4
121.0,10
122.0,5
123.0,8
124.0,7
125.0,7
126.0,6
127.0,9
128.0,5
129.0,8
130.0,6
131.0,9
132.0,5
133.0,9
134.0,6
135.0,7
136.0,12
137.0,5
138.0,10
139.0,5
140.0,6
141.0,6
142.0,5
143.0,13
144.0,4
145.0,6
146.0,10
147.0,6
148.0,4
149.0,8
150.0,4
151.0,7
152.0,7
153.0,12
154.0,4
155.0,8
156.0,15
157.0,9
158.0,6
159.0,5
160.0,9
161.0,6
162.0,6
163.0,9
164.0,6
165.0,16
166.0,12
167.0,5
168.0,4
169.0,8
170.0,7
171.0,8
172.0,4
173.0,6
174.0,9
175.0,9
176.0,7
177.0,9
178.0,12
179.0,5
180.0,7
181.0,6
182.0,5
183.0,6
184.0,8
185.0,7
186.0,7
187.0,4
188.0,5
189.0,7
